[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41422  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41432  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41436  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41442  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41452  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41468  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41478  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41482  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41490  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41498  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41500  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41508  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41520  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41532  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41548  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41562  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41568  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41572  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41584  connected]
[info][server.go:93] 2025/03/11 12:54:25 [127.0.0.1:41600  connected]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41192]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41186]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41190]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41246]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41210]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41252]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41242]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41222]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41228]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41314]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41332]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41248]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41290]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41198]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41342]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41364]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41274]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41304]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41420]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41264]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41352]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41422]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41302]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41296]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41360]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41442]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41432]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41380]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41436]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41418]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41326]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41410]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41398]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41478]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41394]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41498]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41490]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41452]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41532]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41600]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41548]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41500]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41508]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41572]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41468]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41568]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41482]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41562]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41520]
[info][db_manager.go:86] 2025/03/11 12:54:27 [Close connection  127.0.0.1:41584]
[info][server.go:93] 2025/03/11 12:54:59 [127.0.0.1:36540  connected]
[error][parser.go:83] 2025/03/11 12:54:59 [read tcp 127.0.0.1:6380->127.0.0.1:36540: read: connection reset by peer]
[panic][db_manager.go:88] 2025/03/11 12:54:59 [Handle connection  127.0.0.1:36540  panic:  read tcp 127.0.0.1:6380->127.0.0.1:36540: read: connection reset by peer]
[info][server.go:93] 2025/03/11 12:54:59 [127.0.0.1:36550  connected]
[info][server.go:93] 2025/03/11 12:54:59 [127.0.0.1:36562  connected]
[info][server.go:93] 2025/03/11 12:54:59 [127.0.0.1:36566  connected]
